"Date","Depth","TN_interp"
2014-07-30,3.8,186.3
2014-07-30,5,168.433333333333
2014-07-30,5.2,NA
2014-07-30,5.5,NA
2014-07-30,5.8,NA
2014-07-30,6,NA
2014-07-30,6.2,160.333333333333
2014-07-30,8,164.6
2014-07-30,9,271.633333333333
2014-07-30,9.3,NA
2014-08-02,0.1,169.766666666667
2014-08-02,1,166.366666666667
2014-08-02,1.6,157.966666666667
2014-08-02,2.8,167.433333333333
2014-08-02,3.8,188.4
2014-08-02,5,167.066666666667
2014-08-02,5.2,NA
2014-08-02,5.5,NA
2014-08-02,5.8,NA
2014-08-02,6,NA
2014-08-02,6.2,152.966666666667
2014-08-02,8,178.6
2014-08-02,9,368.366666666667
2014-08-02,9.3,NA
2014-08-04,0.1,171.8
2014-08-04,1,166.7
2014-08-04,1.6,155.6
2014-08-04,2.8,163.7
2014-08-04,3.8,190.5
2014-08-04,5,165.7
2014-08-04,5.2,NA
2014-08-04,5.5,NA
2014-08-04,5.8,NA
2014-08-04,6,NA
2014-08-04,6.2,145.6
2014-08-04,8,192.6
2014-08-04,9,465.1
2014-08-04,9.3,NA
2014-08-06,0.1,167.25
2014-08-06,1,173.7
2014-08-06,1.6,160.95
2014-08-06,2.8,169.6
2014-08-06,3.8,187.125
2014-08-06,5,179.075
2014-08-06,5.2,NA
2014-08-06,5.5,NA
2014-08-06,5.8,NA
2014-08-06,6,NA
2014-08-06,6.2,156.3
2014-08-06,8,195.775
2014-08-06,9,418.675
2014-08-06,9.3,NA
2014-08-09,0.1,162.7
2014-08-09,1,180.7
2014-08-09,1.6,166.3
2014-08-09,2.8,175.5
2014-08-09,3.8,183.75
2014-08-09,5,192.45
2014-08-09,5.2,NA
2014-08-09,5.5,NA
2014-08-09,5.8,NA
2014-08-09,6,NA
2014-08-09,6.2,167
2014-08-09,8,198.95
2014-08-09,9,372.25
2014-08-09,9.3,NA
2014-08-10,0.1,158.15
2014-08-10,1,187.7
2014-08-10,1.6,171.65
2014-08-10,2.8,181.4
2014-08-10,3.8,180.375
2014-08-10,5,205.825
2014-08-10,5.2,NA
2014-08-10,5.5,NA
2014-08-10,5.8,NA
2014-08-10,6,NA
2014-08-10,6.2,177.7
2014-08-10,8,202.125
2014-08-10,9,325.825
2014-08-10,9.3,NA
2014-08-11,0.1,153.6
2014-08-11,1,194.7
2014-08-11,1.6,177
2014-08-11,2.8,187.3
2014-08-11,3.8,177
2014-08-11,5,219.2
2014-08-11,5.2,NA
2014-08-11,5.5,NA
2014-08-11,5.8,NA
2014-08-11,6,NA
2014-08-11,6.2,188.4
2014-08-11,8,205.3
2014-08-11,9,279.4
2014-08-11,9.3,NA
2014-08-13,0.1,161.7
2014-08-13,1,183.25
2014-08-13,1.6,192.75
2014-08-13,2.8,183.7
2014-08-13,3.8,191.15
2014-08-13,5,203.25
2014-08-13,5.2,NA
2014-08-13,5.5,NA
2014-08-13,5.8,NA
2014-08-13,6,NA
2014-08-13,6.2,201.65
2014-08-13,8,263.35
2014-08-13,9,681.8
2014-08-13,9.3,NA
2014-08-18,0.1,169.8
2014-08-18,1,171.8
2014-08-18,1.6,208.5
2014-08-18,2.8,180.1
2014-08-18,3.8,205.3
2014-08-18,5,187.3
2014-08-18,5.2,NA
2014-08-18,5.5,NA
2014-08-18,5.8,NA
2014-08-18,6,NA
2014-08-18,6.2,214.9
2014-08-18,8,321.4
2014-08-18,9,1084.2
2014-08-18,9.3,NA
2014-08-19,0.1,169.1
2014-08-19,1,172.5
2014-08-19,1.6,192.2
2014-08-19,2.8,208.266666666667
2014-08-19,3.8,212.1
2014-08-19,5,175.4
2014-08-19,5.2,NA
2014-08-19,5.5,NA
2014-08-19,5.8,NA
2014-08-19,6,NA
2014-08-19,6.2,197.833333333333
2014-08-19,8,272.233333333333
2014-08-19,9,776
2014-08-19,9.3,NA
2014-08-21,0.1,168.4
2014-08-21,1,173.2
2014-08-21,1.6,175.9
2014-08-21,2.8,236.433333333333
2014-08-21,3.8,218.9
2014-08-21,5,163.5
2014-08-21,5.2,NA
2014-08-21,5.5,NA
2014-08-21,5.8,NA
2014-08-21,6,NA
2014-08-21,6.2,180.766666666667
2014-08-21,8,223.066666666667
2014-08-21,9,467.8
2014-08-21,9.3,NA
2014-08-25,0.1,167.7
2014-08-25,1,173.9
2014-08-25,1.6,159.6
2014-08-25,2.8,264.6
2014-08-25,3.8,225.7
2014-08-25,5,151.6
2014-08-25,5.2,NA
2014-08-25,5.5,NA
2014-08-25,5.8,NA
2014-08-25,6,NA
2014-08-25,6.2,163.7
2014-08-25,8,173.9
2014-08-25,9,159.6
2014-08-25,9.3,NA
2014-08-30,0.1,165.2
2014-08-30,1,168.3
2014-08-30,1.6,155.6
2014-08-30,2.8,214.65
2014-08-30,3.8,220.3
2014-08-30,5,177.9
2014-08-30,5.2,NA
2014-08-30,5.5,NA
2014-08-30,5.8,NA
2014-08-30,6,NA
2014-08-30,6.2,172.4
2014-08-30,8,175.45
2014-08-30,9,161.15
2014-08-30,9.3,NA
2014-09-03,0.1,162.7
2014-09-03,1,162.7
2014-09-03,1.6,151.6
2014-09-03,2.8,164.7
2014-09-03,3.8,214.9
2014-09-03,5,204.2
2014-09-03,5.2,NA
2014-09-03,5.5,NA
2014-09-03,5.8,NA
2014-09-03,6,NA
2014-09-03,6.2,181.1
2014-09-03,8,177
2014-09-03,9,162.7
2014-09-03,9.3,NA
2014-09-08,0.1,189
2014-09-08,1,185
2014-09-08,1.6,184
2014-09-08,2.8,188
2014-09-08,3.8,216
2014-09-08,5,202
2014-09-08,5.2,NA
2014-09-08,5.5,NA
2014-09-08,5.8,NA
2014-09-08,6,NA
2014-09-08,6.2,182
2014-09-08,8,188
2014-09-08,9,199
2014-09-08,9.3,NA
2014-09-15,0.1,165
2014-09-15,1,171
2014-09-15,1.6,170
2014-09-15,2.8,177
2014-09-15,3.8,177
2014-09-15,5,197
2014-09-15,5.2,NA
2014-09-15,5.5,NA
2014-09-15,5.8,NA
2014-09-15,6,NA
2014-09-15,6.2,213
2014-09-15,8,207
2014-09-15,9,189
2014-09-15,9.3,NA
2014-09-22,0.1,213
2014-09-22,1,201
2014-09-22,1.6,183
2014-09-22,2.8,192
2014-09-22,3.8,197
2014-09-22,5,262
2014-09-22,5.2,NA
2014-09-22,5.5,NA
2014-09-22,5.8,NA
2014-09-22,6,NA
2014-09-22,6.2,181
2014-09-22,8,192
2014-09-22,9,200
2014-09-22,9.3,NA
2014-09-29,0.1,193
2014-09-29,1,209
2014-09-29,1.6,206
2014-09-29,2.8,222
2014-09-29,3.8,220
2014-09-29,5,250
2014-09-29,5.2,NA
2014-09-29,5.5,NA
2014-09-29,5.8,NA
2014-09-29,6,NA
2014-09-29,6.2,214
2014-09-29,8,178
2014-09-29,9,189
2014-09-29,9.3,NA
2014-10-04,0.1,200.333333333333
2014-10-04,1,214.333333333333
2014-10-04,1.6,210.666666666667
2014-10-04,2.8,217
2014-10-04,3.8,216.333333333333
2014-10-04,5,244.666666666667
2014-10-04,5.2,NA
2014-10-04,5.5,NA
2014-10-04,5.8,NA
2014-10-04,6,NA
2014-10-04,6.2,217.666666666667
2014-10-04,8,180.666666666667
2014-10-04,9,193.666666666667
2014-10-04,9.3,NA
2014-10-10,0.1,207.666666666667
2014-10-10,1,219.666666666667
2014-10-10,1.6,215.333333333333
2014-10-10,2.8,212
2014-10-10,3.8,212.666666666667
2014-10-10,5,239.333333333333
2014-10-10,5.2,NA
2014-10-10,5.5,NA
2014-10-10,5.8,NA
2014-10-10,6,NA
2014-10-10,6.2,221.333333333333
2014-10-10,8,183.333333333333
2014-10-10,9,198.333333333333
2014-10-10,9.3,NA
2014-10-15,0.1,215
2014-10-15,1,225
2014-10-15,1.6,220
2014-10-15,2.8,207
2014-10-15,3.8,209
2014-10-15,5,234
2014-10-15,5.2,NA
2014-10-15,5.5,NA
2014-10-15,5.8,NA
2014-10-15,6,NA
2014-10-15,6.2,225
2014-10-15,8,186
2014-10-15,9,203
2014-10-15,9.3,NA
2014-10-23,0.1,218
2014-10-23,1,206
2014-10-23,1.6,225
2014-10-23,2.8,209
2014-10-23,3.8,221
2014-10-23,5,243
2014-10-23,5.2,NA
2014-10-23,5.5,NA
2014-10-23,5.8,NA
2014-10-23,6,NA
2014-10-23,6.2,235
2014-10-23,8,264
2014-10-23,9,208
2014-10-23,9.3,NA
2014-10-30,0.1,207.5
2014-10-30,1,215
2014-10-30,1.6,218
2014-10-30,2.8,207
2014-10-30,3.8,214.5
2014-10-30,5,223
2014-10-30,5.2,NA
2014-10-30,5.5,NA
2014-10-30,5.8,NA
2014-10-30,6,NA
2014-10-30,6.2,218.5
2014-10-30,8,234.5
2014-10-30,9,206.5
2014-10-30,9.3,NA
2014-11-10,0.1,197
2014-11-10,1,224
2014-11-10,1.6,211
2014-11-10,2.8,205
2014-11-10,3.8,208
2014-11-10,5,203
2014-11-10,5.2,NA
2014-11-10,5.5,NA
2014-11-10,5.8,NA
2014-11-10,6,NA
2014-11-10,6.2,202
2014-11-10,8,205
2014-11-10,9,205
2014-11-10,9.3,NA
2014-12-10,0.1,181
2014-12-10,1,184
2014-12-10,1.6,181
2014-12-10,2.8,176
2014-12-10,3.8,182
2014-12-10,5,179
2014-12-10,5.2,NA
2014-12-10,5.5,NA
2014-12-10,5.8,NA
2014-12-10,6,NA
2014-12-10,6.2,201
2014-12-10,8,187
2014-12-10,9,185
2014-12-10,9.3,NA
2015-03-01,0.1,227.5
2015-03-01,1,179.2
2015-03-01,1.6,166.666666666667
2015-03-01,2.8,163.8
2015-03-01,3.8,157
2015-03-01,5,154
2015-03-01,5.2,NA
2015-03-01,5.5,NA
2015-03-01,5.8,NA
2015-03-01,6,NA
2015-03-01,6.2,164
2015-03-01,8,174
2015-03-01,9,191.5
2015-03-01,9.3,NA
2015-03-16,0.1,274
2015-03-16,1,174.4
2015-03-16,1.6,152.333333333333
2015-03-16,2.8,151.6
2015-03-16,3.8,132
2015-03-16,5,129
2015-03-16,5.2,NA
2015-03-16,5.5,NA
2015-03-16,5.8,NA
2015-03-16,6,NA
2015-03-16,6.2,127
2015-03-16,8,161
2015-03-16,9,198
2015-03-16,9.3,NA
2015-03-31,0.1,170
2015-03-31,1,169.6
2015-03-31,1.6,138
2015-03-31,2.8,139.4
2015-03-31,3.8,138
2015-03-31,5,141
2015-03-31,5.2,NA
2015-03-31,5.5,NA
2015-03-31,5.8,NA
2015-03-31,6,NA
2015-03-31,6.2,130
2015-03-31,8,126
2015-03-31,9,118
2015-03-31,9.3,NA
2015-04-07,0.1,296
2015-04-07,1,164.8
2015-04-07,1.6,114
2015-04-07,2.8,127.2
2015-04-07,3.8,136
2015-04-07,5,150
2015-04-07,5.2,NA
2015-04-07,5.5,NA
2015-04-07,5.8,NA
2015-04-07,6,NA
2015-04-07,6.2,122
2015-04-07,8,105
2015-04-07,9,114
2015-04-07,9.3,NA
2015-04-13,0.1,148
2015-04-13,1,160
2015-04-13,1.6,149
2015-04-13,2.8,115
2015-04-13,3.8,156
2015-04-13,5,160
2015-04-13,5.2,NA
2015-04-13,5.5,NA
2015-04-13,5.8,NA
2015-04-13,6,NA
2015-04-13,6.2,152
2015-04-13,8,141.5
2015-04-13,9,144
2015-04-13,9.3,NA
2015-04-16,0.1,145
2015-04-16,1,142
2015-04-16,1.6,154
2015-04-16,2.8,143
2015-04-16,3.8,149
2015-04-16,5,157
2015-04-16,5.2,NA
2015-04-16,5.5,NA
2015-04-16,5.8,NA
2015-04-16,6,NA
2015-04-16,6.2,168
2015-04-16,8,158
2015-04-16,9,173
2015-04-16,9.3,NA
2015-04-19,0.1,165
2015-04-19,1,151
2015-04-19,1.6,158
2015-04-19,2.8,204
2015-04-19,3.8,166
2015-04-19,5,188
2015-04-19,5.2,NA
2015-04-19,5.5,NA
2015-04-19,5.8,NA
2015-04-19,6,NA
2015-04-19,6.2,165
2015-04-19,8,154
2015-04-19,9,209
2015-04-19,9.3,NA
2015-04-21,0.1,153
2015-04-21,1,150.333333333333
2015-04-21,1.6,152
2015-04-21,2.8,141.5
2015-04-21,3.8,138
2015-04-21,5,125
2015-04-21,5.2,NA
2015-04-21,5.5,NA
2015-04-21,5.8,NA
2015-04-21,6,NA
2015-04-21,6.2,111
2015-04-21,8,217
2015-04-21,9,175
2015-04-21,9.3,NA
2015-04-25,0.1,138
2015-04-25,1,149.666666666667
2015-04-25,1.6,138
2015-04-25,2.8,131
2015-04-25,3.8,139
2015-04-25,5,142
2015-04-25,5.2,NA
2015-04-25,5.5,NA
2015-04-25,5.8,NA
2015-04-25,6,NA
2015-04-25,6.2,117
2015-04-25,8,135.5
2015-04-25,9,208.5
2015-04-25,9.3,NA
2015-04-28,0.1,149
2015-04-28,1,149
2015-04-28,1.6,135
2015-04-28,2.8,141
2015-04-28,3.8,120
2015-04-28,5,147
2015-04-28,5.2,NA
2015-04-28,5.5,NA
2015-04-28,5.8,NA
2015-04-28,6,NA
2015-04-28,6.2,131
2015-04-28,8,248
2015-04-28,9,242
2015-04-28,9.3,NA
2015-05-01,0.1,139
2015-05-01,1,142
2015-05-01,1.6,154
2015-05-01,2.8,158
2015-05-01,3.8,120
2015-05-01,5,117
2015-05-01,5.2,NA
2015-05-01,5.5,NA
2015-05-01,5.8,NA
2015-05-01,6,NA
2015-05-01,6.2,123
2015-05-01,8,171
2015-05-01,9,163.5
2015-05-01,9.3,NA
2015-05-05,0.1,139
2015-05-05,1,135
2015-05-05,1.6,131
2015-05-05,2.8,140
2015-05-05,3.8,141
2015-05-05,5,137
2015-05-05,5.2,NA
2015-05-05,5.5,NA
2015-05-05,5.8,NA
2015-05-05,6,NA
2015-05-05,6.2,168
2015-05-05,8,178
2015-05-05,9,209
2015-05-05,9.3,NA
2015-05-07,0.1,167.5
2015-05-07,1,NA
2015-05-07,1.6,122
2015-05-07,2.8,NA
2015-05-07,3.8,131.25
2015-05-07,5,158
2015-05-07,5.2,NA
2015-05-07,5.5,NA
2015-05-07,5.8,NA
2015-05-07,6,NA
2015-05-07,6.2,158.5
2015-05-07,8,252
2015-05-07,9,218.25
2015-05-07,9.3,NA
2015-05-11,0.1,196
2015-05-11,1,NA
2015-05-11,1.6,113
2015-05-11,2.8,NA
2015-05-11,3.8,121.5
2015-05-11,5,179
2015-05-11,5.2,NA
