,Chla_sqrt,Chla_ARlag1_sqrt,Temp_C,DO_mgL,SpCond_uScm,Turb_NTU_log,Kd,TP_log,TN_log,NH4_log,NO3NO2_log,SRP_log,DOC_log,TP_inf_log,TN_inf_log,NH4_inf_log,DOC_inf_log,NO3NO2_inf,SRP_inf,NH4NO3_SRP_inf,mean_flow,NO3NO2_load,SRP_load,TN_TP_log,NH4NO3NO2_SRP_log,TN_TP_inf_log,TN_load_log,TP_load_log,NH4_load_log,DOC_load_log,mean_wrt_log,flow_max_log,flow_min,flow_median,Temp_inf_mean,Temp_inf_max,Temp_inf_min,Total_chlorophyll_log,greens_log,cyano_log,diatoms_log,crypto_log,RelHum_max_log,AirTemp_max_log,AirTemp_mean_log,AirTemp_median_log,Rain_sum_log,WindSpeed_max_log,WindSpeed_mean_log,WindSpeed_median_log,RelHum_mean,RelHum_median,ShortWave_max,ShortWave_mean
NO3NO2_log,0.109838943,0.017859991,0.182171905,-0.112517941,-0.316121835,0.29342995,NA,0.548301713,NA,0.216742595,1,-0.174697138,NA,0.423519984,NA,0.235429736,NA,0.150089765,0.207093032,0.30540584,0.332195826,0.509902733,0.519725728,NA,0.541215052,NA,NA,0.405780927,0.322514316,NA,-0.327730829,0.266347602,0.3163995,0.333681709,0.036612981,-0.015187655,0.100908947,NA,NA,NA,NA,NA,-0.104526801,0.11519694,0.166097913,0.184850903,0.049451877,0.000893,0.021431989,0.01964599,-0.005357997,0.070546963,0.154488919,0.275043856
SRP_log,0.753980624,0.512562694,-0.668403373,0.439596827,0.387349663,0.347593308,NA,-0.293665094,NA,0.5328482,-0.174697138,1,NA,0.507333827,NA,0.741511288,NA,-0.807482838,-0.797268382,-0.609850517,0.495447244,-0.489141552,-0.064858548,NA,-0.232818611,NA,NA,0.677190087,0.651573763,NA,-0.530578958,0.503546057,0.587395266,0.5709156,-0.454009838,-0.353273742,-0.454910651,NA,NA,NA,NA,NA,0.034245924,-0.343209818,-0.365730147,-0.375639092,-0.2392612,-0.466621222,-0.330598434,-0.325193555,-0.07116424,-0.157642305,-0.263938259,-0.397258608
DOC_log,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP_inf_log,0.607017544,0.329824561,-0.068421053,-0.229824561,-0.09122807,0.393129344,NA,0.429824561,NA,0.044004427,0.423519984,0.507333827,NA,1,NA,0.266015913,NA,-0.120879121,-0.434401494,0.2,0.410526316,0.406593407,0.257142857,NA,-0.044004427,NA,NA,0.71754386,0.288228997,NA,-0.419298246,0.31167703,0.423364443,0.420544499,0.019298246,-0.156483894,0.028070175,NA,NA,NA,NA,NA,0.108819668,-0.119298246,-0.066666667,-0.098245614,0.191035777,-0.59122807,-0.570175439,-0.589473684,0.066666667,-0.005263158,-0.175438596,-0.168421053
TN_inf_log,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NH4_inf_log,0.838383612,0.500840699,-0.449753124,0.312911402,0.14231539,0.653615366,NA,-0.109473377,NA,0.845055021,0.235429736,0.741511288,NA,0.266015913,NA,1,NA,-0.666255324,-0.404393163,-0.464349574,0.562875613,-0.213473085,0.318385071,NA,0.318945116,NA,NA,0.617449779,0.887123528,NA,-0.56926156,0.611306685,0.594871255,0.58822131,-0.420560223,-0.370547482,-0.318385071,NA,NA,NA,NA,NA,0.369634803,-0.265472939,-0.210736251,-0.222595866,0.126298683,-0.470735521,-0.3338938,-0.297402674,0.304700899,0.240841429,-0.358525309,-0.389542766
DOC_inf_log,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO3NO2_inf,-0.724879403,-0.422115003,0.897762263,-0.623080358,-0.740675806,-0.171077501,NA,0.446687186,NA,-0.440931092,0.150089765,-0.807482838,NA,-0.120879121,NA,-0.666255324,NA,1,0.74901164,0.935498116,-0.352786344,0.745063696,0.171127704,NA,0.266373858,NA,NA,-0.340659341,-0.585601405,NA,0.381746417,-0.41370228,-0.433465127,-0.420544337,0.640631918,0.549604917,0.631856138,NA,NA,NA,NA,NA,-0.194029851,0.690653862,0.696796908,0.703817532,0.264588417,0.301009244,0.067573504,0.050021944,-0.007020624,0.0517771,0.537955295,0.679245348
SRP_inf,-0.540422627,-0.350615656,0.613357713,-0.301406441,-0.365554167,-0.135982989,NA,0.187170764,NA,-0.240545388,0.207093032,-0.797268382,NA,-0.434401494,NA,-0.404393163,NA,0.74901164,1,0.575572066,-0.453427765,0.442004198,0.231986299,NA,0.455105634,NA,NA,-0.538040429,-0.41714322,NA,0.488577204,-0.484608807,-0.549252631,-0.539341128,0.384886359,0.292307946,0.389280039,NA,NA,NA,NA,NA,0.047033008,0.3321622,0.360281751,0.366432903,0.347843184,0.340070824,0.246046074,0.245167338,0.304921385,0.340070824,0.146748909,0.267135738
NH4NO3_SRP_inf,-0.564912281,-0.278947368,0.9,-0.656140351,-0.871929825,0.039665517,NA,0.575438596,NA,-0.251975514,0.30540584,-0.609850517,NA,0.2,NA,-0.464349574,NA,0.935498116,0.575572066,1,-0.096491228,0.871929825,0.326315789,NA,0.342707032,NA,NA,0.081318681,-0.34576572,NA,0.119298246,-0.172958802,-0.163301204,-0.144800365,0.642105263,0.559894745,0.654385965,NA,NA,NA,NA,NA,-0.187801685,0.775438596,0.789473684,0.794736842,0.253677554,0.189473684,-0.059649123,-0.084210526,-0.045614035,0.014035088,0.631578947,0.775438596
mean_flow,0.354782609,0.06,-0.154782609,-0.044347826,-0.265217391,0.498149176,NA,0.11826087,NA,0.516242517,0.332195826,0.495447244,NA,0.410526316,NA,0.562875613,NA,-0.352786344,-0.453427765,-0.096491228,1,0.285964912,0.729824561,NA,0.265378266,NA,NA,0.889473684,0.831066337,NA,-0.996521739,0.958886434,0.977371998,0.988690829,-0.182608696,-0.160644456,-0.110434783,NA,NA,NA,NA,NA,0.346597095,-0.017391304,-0.042608696,-0.073043478,0.148132184,-0.365217391,-0.407826087,-0.445217391,0.153913043,0.093913043,-0.025217391,-0.076521739
NO3NO2_load,-0.394736842,-0.415789474,0.803508772,-0.601754386,-0.901754386,0.111063447,NA,0.684210526,NA,0.00263389,0.509902733,-0.489141552,NA,0.406593407,NA,-0.213473085,NA,0.745063696,0.442004198,0.871929825,0.285964912,1,0.624561404,NA,0.557118611,NA,NA,0.56043956,0.007898202,NA,-0.259649123,0.20017567,0.208955304,0.218516914,0.528070175,0.437911407,0.592982456,NA,NA,NA,NA,NA,0.057920146,0.615789474,0.677192982,0.684210526,0.410202002,-0.005263158,-0.228070175,-0.245614035,0.129824561,0.189473684,0.487719298,0.642105263
SRP_load,0.089473684,-0.001754386,0.294736842,-0.405263158,-0.464912281,0.457475627,NA,0.396491228,NA,0.374890399,0.519725728,-0.064858548,NA,0.257142857,NA,0.318385071,NA,0.171127704,0.231986299,0.326315789,0.729824561,0.624561404,1,NA,0.572935858,NA,NA,0.714285714,0.57920146,NA,-0.703508772,0.654960744,0.645303146,0.662571367,0.043859649,0.001755156,0.098245614,NA,NA,NA,NA,NA,0.366827591,0.096491228,0.121052632,0.128070175,0.264472344,-0.194736842,-0.41754386,-0.456140351,0.214035088,0.228070175,0.21754386,0.252631579
TN_TP_log,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NH4NO3NO2_SRP_log,-0.045694271,-0.237258714,0.434095574,-0.114235677,-0.444640405,0.30375421,NA,0.156415004,NA,0.625330057,0.541215052,-0.232818611,NA,-0.044004427,NA,0.318945116,NA,0.266373858,0.455105634,0.342707032,0.265378266,0.557118611,0.572935858,NA,1,NA,NA,0.242024349,0.311209062,NA,-0.249561018,0.175901563,0.218117938,0.216263924,0.254833434,0.19780237,0.407733494,NA,NA,NA,NA,NA,0.195165005,0.330404728,0.455185237,0.455185237,0.358656962,-0.258348378,-0.25131849,-0.202109275,0.360281751,0.414763382,0.042179327,0.119508093
TN_TP_inf_log,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TN_load_log,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TP_load_log,0.522807018,0.175438596,-0.175438596,-0.150877193,-0.431578947,0.584405281,NA,0.433333333,NA,0.356435859,0.405780927,0.677190087,NA,0.71754386,NA,0.617449779,NA,-0.340659341,-0.538040429,0.081318681,0.889473684,0.56043956,0.714285714,NA,0.242024349,NA,NA,1,0.785479023,NA,-0.894736842,0.823529729,0.877471117,0.89464477,-0.10877193,-0.174066354,-0.064912281,NA,NA,NA,NA,NA,0.377358527,0.066666667,0.047368421,-0.001754386,0.293045172,-0.503508772,-0.538596491,-0.6,0.149122807,0.077192982,0.038596491,-0.003508772
NH4_load_log,0.679245348,0.351031188,-0.34576572,0.133391851,0.030715229,0.565702148,NA,0.084247485,NA,0.732982065,0.322514316,0.651573763,NA,0.288228997,NA,0.887123528,NA,-0.585601405,-0.41714322,-0.34576572,0.831066337,0.007898202,0.57920146,NA,0.311209062,NA,NA,0.785479023,1,NA,-0.824045713,0.854194197,0.8164252,0.825285338,-0.358051812,-0.335381914,-0.279069794,NA,NA,NA,NA,NA,0.467954346,-0.314172913,-0.251864877,-0.260640657,0.163792829,-0.382623995,-0.33698994,-0.338745096,0.294866198,0.253620033,-0.265028547,-0.304519555
DOC_load_log,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mean_wrt_log,-0.372173913,-0.076521739,0.18,0.029565217,0.253043478,-0.489868481,NA,-0.12,NA,-0.521510298,-0.327730829,-0.530578958,NA,-0.419298246,NA,-0.56926156,NA,0.381746417,0.488577204,0.119298246,-0.996521739,-0.259649123,-0.703508772,NA,-0.249561018,NA,NA,-0.894736842,-0.824045713,NA,1,-0.942788976,-0.986510382,-0.996085349,0.170434783,0.140182967,0.103478261,NA,NA,NA,NA,NA,-0.324853237,0.007826087,0.036521739,0.066956522,-0.113385128,0.387826087,0.413043478,0.448695652,-0.133043478,-0.076521739,0.011304348,0.066956522
flow_max_log,0.389384464,0.0648249,-0.175766842,-0.002610399,-0.220143619,0.554296526,NA,0.040896245,NA,0.515817223,0.266347602,0.503546057,NA,0.31167703,NA,0.611306685,NA,-0.41370228,-0.484608807,-0.172958802,0.958886434,0.20017567,0.654960744,NA,0.175901563,NA,NA,0.823529729,0.854194197,NA,-0.942788976,1,0.909427411,0.929923852,-0.275832123,-0.257460303,-0.189253902,NA,NA,NA,NA,NA,0.427763313,-0.088753554,-0.103980879,-0.142266726,0.274955434,-0.259299598,-0.318033568,-0.35196875,0.236676144,0.167065513,-0.145312191,-0.179247373
flow_min,0.430809563,0.107049649,-0.238903485,0.026979993,-0.238468324,0.465649398,NA,0.130113191,NA,0.543936731,0.3163995,0.587395266,NA,0.423364443,NA,0.594871255,NA,-0.433465127,-0.549252631,-0.163301204,0.977371998,0.208955304,0.645303146,NA,0.218117938,NA,NA,0.877471117,0.8164252,NA,-0.986510382,0.909427411,1,0.987810281,-0.179721565,-0.143137268,-0.123150612,NA,NA,NA,NA,NA,0.262241623,-0.02219322,-0.050913857,-0.07789385,0.037980483,-0.412097632,-0.406440537,-0.444299559,0.075282883,0.016536125,0.003916451,-0.057876436
flow_median,0.399739055,0.1278817,-0.218790799,-0.023488475,-0.233579839,0.497929888,NA,0.126141813,NA,0.52964432,0.333681709,0.5709156,NA,0.420544499,NA,0.58822131,NA,-0.420544337,-0.539341128,-0.144800365,0.988690829,0.218516914,0.662571367,NA,0.216263924,NA,NA,0.89464477,0.825285338,NA,-0.996085349,0.929923852,0.987810281,1,-0.167464131,-0.12935545,-0.10569814,NA,NA,NA,NA,NA,0.300195787,0.001739887,-0.031752939,-0.060461076,0.083703653,-0.384080071,-0.396694252,-0.431057022,0.096128761,0.039582431,0.001304915,-0.058721189
Temp_inf_mean,-0.296521739,-0.123478261,0.66173913,-0.416521739,-0.322608696,-0.110699817,NA,0.34,NA,-0.251975514,0.036612981,-0.454009838,NA,0.019298246,NA,-0.420560223,NA,0.640631918,0.384886359,0.642105263,-0.182608696,0.528070175,0.043859649,NA,0.254833434,NA,NA,-0.10877193,-0.358051812,NA,0.170434783,-0.275832123,-0.179721565,-0.167464131,1,0.957336472,0.967826087,NA,NA,NA,NA,NA,-0.183953038,0.59826087,0.657391304,0.651304348,0.12984426,0.223478261,0.127826087,0.155652174,-0.223478261,-0.262608696,0.340869565,0.337391304
Temp_inf_max,-0.324771718,-0.140618318,0.555507657,-0.306486983,-0.370483555,-0.117608623,NA,0.276012425,NA,-0.231444906,-0.015187655,-0.353273742,NA,-0.156483894,NA,-0.370547482,NA,0.549604917,0.292307946,0.559894745,-0.160644456,0.437911407,0.001755156,NA,0.19780237,NA,NA,-0.174066354,-0.335381914,NA,0.140182967,-0.257460303,-0.143137268,-0.12935545,0.957336472,1,0.8933399,NA,NA,NA,NA,NA,-0.281733239,0.68306545,0.706574395,0.696996676,0.01144489,0.249020674,0.19982603,0.228123834,-0.342185751,-0.371789607,0.470614246,0.44666995
Temp_inf_min,-0.266956522,-0.156521739,0.708695652,-0.457391304,-0.360869565,-0.058836517,NA,0.36173913,NA,-0.105355616,0.100908947,-0.454910651,NA,0.028070175,NA,-0.318385071,NA,0.631856138,0.389280039,0.654385965,-0.110434783,0.592982456,0.098245614,NA,0.407733494,NA,NA,-0.064912281,-0.279069794,NA,0.103478261,-0.189253902,-0.123150612,-0.10569814,0.967826087,0.8933399,1,NA,NA,NA,NA,NA,-0.043052839,0.591304348,0.685217391,0.68,0.245972576,0.137391304,0.032173913,0.069565217,-0.06,-0.095652174,0.225217391,0.246086957
Total_chlorophyll_log,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
greens_log,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cyano_log,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
diatoms_log,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crypto_log,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RelHum_max_log,0.101053275,0.10531715,-0.021370783,-0.026866128,0.032666769,0.052607507,NA,0.058320611,NA,0.359683829,-0.104526801,0.034245924,NA,0.108819668,NA,0.369634803,NA,-0.194029851,0.047033008,-0.187801685,0.346597095,0.057920146,0.366827591,NA,0.195165005,NA,NA,0.377358527,0.467954346,NA,-0.324853237,0.427763313,0.262241623,0.300195787,-0.183953038,-0.281733239,-0.043052839,NA,NA,NA,NA,NA,1,-0.132824427,-0.077850711,-0.100137385,0.40865613,-0.126087622,-0.145626624,-0.160280875,0.841703567,0.77820181,-0.455197685,-0.352923222
AirTemp_max_log,-0.114486339,0.033510002,0.634101671,-0.279041371,-0.462830108,0.034561909,NA,0.366870229,NA,-0.047410027,0.11519694,-0.343209818,NA,-0.119298246,NA,-0.265472939,NA,0.690653862,0.3321622,0.775438596,-0.017391304,0.615789474,0.096491228,NA,0.330404728,NA,NA,0.066666667,-0.314172913,NA,0.007826087,-0.088753554,-0.02219322,0.001739887,0.59826087,0.68306545,0.591304348,NA,NA,NA,NA,NA,-0.132824427,1,0.967791188,0.964127625,0.133736118,-0.010380095,-0.065333538,-0.069607694,-0.14104717,-0.100442682,0.544649678,0.582506494
AirTemp_mean_log,-0.057997558,0.005811966,0.721611722,-0.324175824,-0.415750916,0.078899215,NA,0.335216001,NA,0.04302021,0.166097913,-0.365730147,NA,-0.066666667,NA,-0.210736251,NA,0.696796908,0.360281751,0.789473684,-0.042608696,0.677192982,0.121052632,NA,0.455185237,NA,NA,0.047368421,-0.251864877,NA,0.036521739,-0.103980879,-0.050913857,-0.031752939,0.657391304,0.706574395,0.685217391,NA,NA,NA,NA,NA,-0.077850711,0.967791188,1,0.996336996,0.255775805,-0.087912088,-0.114774115,-0.111111111,-0.023199023,0.017094017,0.404151404,0.454212454
AirTemp_median_log,-0.077533578,0.011282051,0.730769231,-0.332722833,-0.392551893,0.054740153,NA,0.348649065,NA,0.02546094,0.184850903,-0.375639092,NA,-0.098245614,NA,-0.222595866,NA,0.703817532,0.366432903,0.794736842,-0.073043478,0.684210526,0.128070175,NA,0.455185237,NA,NA,-0.001754386,-0.260640657,NA,0.066956522,-0.142266726,-0.07789385,-0.060461076,0.651304348,0.696996676,0.68,NA,NA,NA,NA,NA,-0.100137385,0.964127625,0.996336996,1,0.220808986,-0.086080586,-0.117826618,-0.115384615,-0.042124542,0.011599512,0.40964591,0.462759463
Rain_sum_log,0.218866385,-0.077744759,0.329594644,-0.163178488,-0.039499555,0.29646637,NA,0.019428976,NA,0.19447688,0.049451877,-0.2392612,NA,0.191035777,NA,0.126298683,NA,0.264588417,0.347843184,0.253677554,0.148132184,0.410202002,0.264472344,NA,0.358656962,NA,NA,0.293045172,0.163792829,NA,-0.113385128,0.274955434,0.037980483,0.083703653,0.12984426,0.01144489,0.245972576,NA,NA,NA,NA,NA,0.40865613,0.133736118,0.255775805,0.220808986,1,-0.063458301,-0.112670861,-0.082884311,0.525149816,0.429962365,-0.384635007,-0.328299577
WindSpeed_max_log,-0.48962149,-0.217777778,-0.061660562,0.333943834,-0.13980464,-0.23792089,NA,0.127614106,NA,-0.532045859,0.000893,-0.466621222,NA,-0.59122807,NA,-0.470735521,NA,0.301009244,0.340070824,0.189473684,-0.365217391,-0.005263158,-0.194736842,NA,-0.258348378,NA,NA,-0.503508772,-0.382623995,NA,0.387826087,-0.259299598,-0.412097632,-0.384080071,0.223478261,0.249020674,0.137391304,NA,NA,NA,NA,NA,-0.126087622,-0.010380095,-0.087912088,-0.086080586,-0.063458301,1,0.927960928,0.903540904,-0.177655678,-0.205738706,0.242979243,0.258241758
WindSpeed_mean_log,-0.39010989,-0.235555556,-0.214896215,0.516483516,-0.053113553,-0.302752803,NA,0.008243016,NA,-0.410886901,0.021431989,-0.330598434,NA,-0.570175439,NA,-0.3338938,NA,0.067573504,0.246046074,-0.059649123,-0.407826087,-0.228070175,-0.41754386,NA,-0.25131849,NA,NA,-0.538596491,-0.33698994,NA,0.413043478,-0.318033568,-0.406440537,-0.396694252,0.127826087,0.19982603,0.032173913,NA,NA,NA,NA,NA,-0.145626624,-0.065333538,-0.114774115,-0.117826618,-0.112670861,0.927960928,1,0.990842491,-0.13003663,-0.161172161,0.157509158,0.159340659
